John B. Penney, Jr., (1947-1999), MD, 1973 heart attack Harvard Medical School/MGH 0 164 13,549 112,
John C. Liebeskind,, (1935-1997), PhD, 1962 cancer UCLA 0 147 10,160 30,
Ora M. Rosen,, (1935-1990), MD, 1960 breast cancer Sloan Kettering Institute for Cancer Research 0 150 14,587 72,
Paul B. Sigler,, (1934-2000), MD/PhD, 1967 heart attack Yale University 0 132 18,527 95,
Gerald P. Murphy,, (1934-2000), MD, 1959 heart attack Roswell Park Cancer Institute/SUNY Buffalo 2 404 14,667 130,
John R. Williamson,, (1934-2000), PhD, 1959 cancer University of Pennsylvania School of Medicine 0 178 13,661 86,
Demetrios Papahadjopoulos,, (1934-1998), PhD, 1963 adverse drug reaction/multi-organ failure UCSF 13 203 25,372 96,
Jiri Palek,, (1934-1998), MD, 1958 2 year illness Tufts University 0 127 5,487 51,
Harold C. Neu,, (1934-1998), MD, 1960 glioblastoma Columbia University 1 530 18,498 102,
George Nemethy,, (1934-1994), PhD, 1962 brain cancer Mount Sinai School of Medicine 0 76 7,079 16,
Howard M. Temin,, (1934-1994), PhD, 1959 lung cancer University of Wisconsin 4 210 17,276 46,
Allan C. Wilson,, (1934-1991), PhD, 1961 leukemia UC Berkeley 0 164 25,915 48,
Edwin H. Beachey,, (1934-1989), MD, 1962 cancer University of Tennessee at Memphis 10 192 10,080 57,
Philip J. Fialkow,, (1933-1996), MD, 1960 trekking accident in Nepal University of Washington 0 168 10,806 100,
Donald C. Shreffler,, (1933-1994), PhD, 1961 heart attack Washington University in St. Louis 0 166 8,295 84,
Edgar Haber,, (1932-1997), MD, 1956 multiple myeloma Harvard University School of Public Health 29 372 27,458 175,
Richard P. Bunge,, (1932-1996), MD, 1960 esophageal cancer University of Miami 0 157 10,828 70,
Lawrence H. Piette,, (1932-1992), PhD, 1957 cancer Utah State University 0 56 2,722 19,
Richard K. Gershon,, (1932-1983), MD, 1959 lung cancer Yale University 0 182 12,007 73,
Barbara H. Bowman,, (1930-1996), PhD, 1959 cancer University of Texas Medical School at San Antonio 1 115 3,371 72,
Edwin L. Bierman,, (1930-1995), MD, 1955 bone cancer University of Washington 0 204 14,583 70,
Frank Lilly,, (1930-1995), PhD, 1965 prostate cancer Albert Einstein College of Medicine 0 94 4,245 55,
DeWitt S. Goodman,, (1930-1991), MD, 1955 pulmonary embolism Columbia University 0 216 15,586 75,
Aaron Janoff,, (1930-1988), PhD, 1959 long illness SUNY HSC at Stony Brook 0 131 8,590 58,
Hymie L. Nossel,, (1930-1983), MD/PhD, 1962 heart attack Columbia University 0 80 5,000 45,
Leo J. Neuringer,, (1928-1993), PhD, 1957 cancer MIT 0 39 1,264 31,
Gerald L. Klerman,, (1928-1992), MD, 1954 diabetes Weill Medical College ? Cornell University 0 252 19,458 114,
Edward C. Franklin,, (1928-1982), MD, 1950 brain cancer New York University 0 224 12,761 69,
Charles G. Moertel,, (1927-1994), MD, 1953 Hodgkin's Disease Mayo Medical School 0 290 21,372 166,
Gerald D. Aurbach,, (1927-1991), MD, 1954 hit in a head by a stone NIH 0 227 16,448 87,
George Streisinger,, (1927-1984), PhD, 1953 scuba-diving accident University of Oregon 0 38 3,765 11,
Murray Rabinowitz,, (1927-1983), MD, 1950 muscular dystrophy University of Chicago 0 146 8,229 51,
Zanvil A. Cohn,, (1926-1993), MD, 1953 aortic dissection Rockefeller University 0 276 38,918 87,
Norbert Freinkel,, (1926-1989), MD, 1949 heart attack Northwestern University 0 188 9,833 76,
Kiichi Sagawa,, (1926-1989), MD/PhD, 1958 cancer Johns Hopkins University 0 119 9,491 39,
Edward V. Evarts,, (1926-1985), MD, 1948 heart attack NIH 0 79 5,254 16,
Wallace P. Rowe,, (1926-1983), MD, 1948 colon cancer NIH 0 232 21,432 79,
William H. Tooley,, (1925-1992), MD, 1949 long illness UCSF School of Medicine 0 77 5,890 62,
Sidney H. Ingbar,, (1925-1988), MD, 1947 lung cancer Harvard Medical School/Beth Israel Medical Center 1 290 14,523 75,
Charlotte Friend,, (1921-1987), PhD, 1950 lymphoma Mount Sinai School of Medicine 0 98 5,486 34,
Charles D. Heidelberger,, (1920-1983), PhD, 1946 carcinoma of nasal sinus University of Southern California 0 242 19,302 59,
Henry S. Kaplan,, (1918-1984), MD, 1940 lung cancer Stanford University School of Medicine 3 395 27,480 132,
Albert Dorfman,, (1916-1982), MD/PhD, 1944 kidney failure University of Chicago 0 183 9,660 45,
